,id,lat,lon
68,00656,51.7234,10.6021
71,00691,53.0451,8.7981
72,00701,53.5332,8.5761
90,00867,50.3066,10.9679
162,01550,47.483,11.0621
171,01639,50.6017,8.6439
175,01691,51.5002,9.9507
193,01975,53.6332,9.9881
195,02014,52.4644,9.6779
211,02261,50.3123,11.876
212,02290,47.8009,11.0108
242,02597,50.224,10.0792
244,02601,50.2218,8.4469
285,03032,55.011,8.4125
354,03631,53.7123,7.1519
361,03730,47.3984,10.2759
394,04104,49.0425,12.1019
416,04371,52.1042,8.7521
453,04887,48.6656,9.8648
472,05100,49.7479,6.6583
491,05371,50.4973,9.9427
518,05705,49.7704,9.9576
526,05792,47.421,10.9848
534,05906,49.5063,8.5584
