,id,height,latitude,longitude,name,Bundesland
68,656,607,51.7234,10.6021,Braunlage,Niedersachsen
71,691,4,53.0451,8.7981,Bremen,Bremen
72,701,7,53.5332,8.5761,Bremerhaven,Bremen
90,867,344,50.3066,10.9679,Lautertal-Oberlauter,Bayern
171,1639,203,50.6017,8.6439,Gieﬂen/Wettenberg,Hessen
175,1691,167,51.5002,9.9507,Gˆttingen,Niedersachsen
193,1975,11,53.6332,9.9881,Hamburg-Fuhlsb¸ttel,Hamburg
195,2014,55,52.4644,9.6779,Hannover,Niedersachsen
211,2261,565,50.3123,11.876,Hof,Bayern
242,2597,282,50.224,10.0792,"Kissingen, Bad",Bayern
244,2601,822,50.2218,8.4469,Kleiner Feldberg/Taunus,Hessen
354,3631,12,53.7123,7.1519,Norderney,Niedersachsen
394,4104,365,49.0425,12.1019,Regensburg,Bayern
416,4371,135,52.1042,8.7521,"Salzuflen, Bad",Nordrhein-Westfalen 
453,4887,734,48.6656,9.8648,Stˆtten,Baden-W¸rttemberg
472,5100,265,49.7479,6.6583,Trier-Petrisberg,Rheinland-Pfalz
491,5371,920,50.4973,9.9427,Wasserkuppe,Hessen
518,5705,268,49.7704,9.9576,W¸rzburg,Bayern
534,5906,98,49.5063,8.5584,Mannheim,Baden-W¸rttemberg
