id,height,latitude,longitude,name,Bundesland
3,202,50.7827,6.0941,Aachen,Nordrhein-Westfalen
5,190,50.8167,6.1833,Aachen-Merzbr¸ck,Nordrhein-Westfalen
44,44,52.9336,8.237,Groﬂenkneten,Niedersachsen
71,759,48.2156,8.9784,Albstadt-Badkap,Baden-W¸rttemberg
73,340,48.6159,13.0506,Aldersbach-Kriestorf,Bayern
78,65,52.4853,7.9126,Alfhausen,Niedersachsen
91,300,50.7446,9.345,Alsfeld-Eifa,Hessen
96,50,52.9437,12.8518,Neuruppin-Alt,Ruppin
98,780,51.189,8.4671,Altastenberg,Nordrhein-Westfalen
102,32,53.8633,8.1275,Leuchtturm,Alte
125,742,47.8342,10.8667,Altenstadt,Bayern
131,296,51.0881,12.9326,Geringswalde-Altgeringswalde,Sachsen
142,511,48.406,11.3117,Altom¸nster-Maisbrunn,Bayern
150,215,49.7273,8.1164,Alzey,Rheinland-Pfalz
151,382,49.4691,11.8546,Amberg-Unterammersricht,Bayern
154,516,48.0197,12.2925,Amerang-Pfaffing,Bayern
161,75,50.4237,7.4202,Andernach,Rheinland-Pfalz
164,54,53.0316,13.9908,Angerm¸nde,Brandenburg
167,11,53.8408,13.6854,Anklam,Mecklenburg-Vorpommern
175,413,49.2964,10.5751,Ansbach,Bayern
183,42,54.6791,13.4344,Arkona,Mecklenburg-Vorpommern
191,217,49.9694,9.9114,Arnstein-M¸desheim,Bayern
198,164,51.3744,11.292,Artern,Th¸ringen
217,670,47.8774,11.3643,Attenkam,Bayern
222,393,50.5908,12.7139,Aue,Sachsen
232,462,48.4253,10.9417,Augsburg,Bayern
257,240,48.727,8.2457,Baden-Baden-Geroldsau,Baden-W¸rttemberg
258,124,48.8,8.1833,Baden-Oos,Baden-W¸rttemberg
259,275,47.8064,7.6387,M¸llheim,Baden-W¸rttemberg
282,240,49.8743,10.9206,Bamberg,Bayern
294,110,52.3199,9.43,Barsinghausen-Hohenbostel,Niedersachsen
298,3,54.3405,12.7108,Barth,Mecklenburg-Vorpommern
303,55,52.0613,13.4997,Baruth,Brandenburg
305,53,53.7333,12.9333,Basepohl,Mecklenburg-Vorpommern
314,234,51.1604,14.5042,"Kubsch¸tz,",Kr.
320,350,49.9666,11.5198,Heinersreuth-Vollhof,Bayern
326,120,51.7204,8.0577,Beckum-Unterberg,Nordrhein-Westfalen
330,455,49.5617,8.9673,Oberzent-Beerfelden,Hessen
342,103,52.317,8.1694,Belm,Niedersachsen
348,127,50.4135,7.5886,Bendorf,Rheinland-Pfalz
361,550,47.6344,13.0109,Berchtesgaden,(KKst)
368,69,52.8152,9.9248,Bergen,Niedersachsen
377,210,49.107,7.9967,"Bergzabern,",Bad
379,304,50.9075,11.2665,"Berka,",Bad
390,610,50.9837,8.3683,"Berleburg,",Bad-St¸nzel
399,36,52.5198,13.4057,Berlin-Alexanderplatz,Berlin
400,60,52.631,13.5021,Berlin-Buch,Berlin
403,51,52.4537,13.3017,Berlin-Dahlem,(FU)
410,33,52.404,13.7309,Berlin-Kaniswall,Berlin
420,61,52.5447,13.5598,Berlin-Marzahn,Berlin
427,46,52.3807,13.5306,Berlin,Brandenburg
430,36,52.5644,13.3088,Berlin-Tegel,Berlin
433,48,52.4675,13.4021,Berlin-Tempelhof,Berlin
445,85,51.8218,11.711,Bernburg/Saale,(Nord)
450,120,49.9186,7.0664,Bernkastel-Kues,Rheinland-Pfalz
460,363,49.2641,6.6868,Berus,Saarland
535,417,50.0372,7.3079,Blankenrath,Rheinland-Pfalz
553,25,51.838,6.6107,Bocholt,(Marienschule)
554,23,51.8293,6.5365,Bocholt-Liedern,(Wasserwerk)
555,101,51.4789,7.2697,Bochum,Nordrhein-Westfalen
591,45,53.3911,10.6878,Boizenburg,Mecklenburg-Vorpommern
596,15,54.0027,11.1908,Boltenhagen,Mecklenburg-Vorpommern
599,62,50.7055,7.1467,Bonn-Friesdorf,Nordrhein-Westfalen
601,158,50.6983,7.0356,Bonn-Hardthˆhe,Nordrhein-Westfalen
603,147,50.7293,7.204,Kˆnigswinter-Heiderhof,Nordrhein-Westfalen
617,47,51.873,6.8863,Borken,in
620,6,53.8,6.3667,Borkumriff,Hamburg
649,31,52.4333,12.45,Brandenburg-Briest,Brandenburg
656,607,51.7234,10.6021,Braunlage,Niedersachsen
662,81,52.2915,10.4464,Braunschweig,Niedersachsen
685,585,49.9017,9.4281,Breitsol,Bayern
691,4,53.0451,8.7981,Bremen,Bremen
701,7,53.5332,8.5761,Bremerhaven,Bremen
704,11,53.4451,9.139,Bremervˆrde,Niedersachsen
