,station id,r_value,gradient,intercept,p_value,conclusion
0,05906,-0.18974,-0.00002,0.03992,0.11567,non-significant
1,05371,-0.10569,-0.00000,0.00590,0.38389,non-significant
2,04104,0.08103,0.00001,-0.01291,0.50487,non-significant
3,02014,-0.34673,-0.00002,0.04815,0.00328,significant but decreasing risk
4,02261,-0.17433,-0.00001,0.02019,0.14891,non-significant
5,01691,-0.29448,-0.00002,0.04999,0.01334,significant but decreasing risk
6,03631,-0.11785,-0.00001,0.02053,0.33124,non-significant
7,00701,-0.40264,-0.00005,0.10663,0.00055,significant but decreasing risk
8,01550,-0.19745,-0.00001,0.01718,0.10134,non-significant
9,04371,0.14497,0.00002,-0.02851,0.23115,non-significant
10,01639,0.31226,0.00002,-0.04648,0.00850,significant
11,05792,-0.19480,-0.00000,0.00001,0.10610,non-significant
12,00656,-0.01666,-0.00000,0.00228,0.89113,non-significant
13,00867,0.28919,0.00002,-0.03776,0.01518,significant
14,03032,-0.11388,-0.00001,0.02395,0.34788,non-significant
15,02601,0.25515,0.00001,-0.02675,0.03303,significant
16,02597,0.49473,0.00005,-0.09968,0.00001,significant
17,05100,0.30062,0.00006,-0.11327,0.01497,significant
18,00691,-0.02925,-0.00000,0.00536,0.81006,non-significant
19,03730,-0.05880,-0.00000,0.00673,0.62871,non-significant
20,04887,-0.19224,-0.00002,0.03190,0.11085,non-significant
21,01975,-0.13285,-0.00001,0.02214,0.27293,non-significant
22,05705,0.04353,0.00000,-0.00311,0.72049,non-significant
