,station id,r_value,gradient,intercept,p_value,conclusion
0,04887,0.05805,0.00000,-0.00108,0.63312,non-significant
1,05371,0.07755,0.00000,-0.00043,0.52340,non-significant
2,05100,0.51240,0.00002,-0.03801,0.00001,significant
3,02597,0.59737,0.00001,-0.02823,0.00000,significant
4,02261,0.12283,0.00000,-0.00234,0.31104,non-significant
5,01975,0.25681,0.00000,-0.00657,0.03187,significant
6,00691,0.31215,0.00000,-0.00842,0.00852,significant
7,04104,0.33267,0.00001,-0.01296,0.00490,significant
8,01639,0.52704,0.00001,-0.02000,0.00000,significant
9,00867,0.45413,0.00001,-0.01587,0.00008,significant
10,00701,-0.02310,-0.00000,0.00130,0.84947,non-significant
11,05705,0.37636,0.00000,-0.00732,0.00132,significant
12,05906,0.25103,0.00000,-0.00898,0.03607,significant
13,02601,0.48492,0.00000,-0.00916,0.00002,significant
14,03631,0.25244,0.00000,-0.00650,0.03500,significant
15,04371,0.39418,0.00001,-0.01784,0.00073,significant
16,01691,0.10767,0.00000,-0.00257,0.37499,non-significant
17,00656,0.26386,0.00000,-0.00406,0.02731,significant
18,02014,0.26786,0.00000,-0.00716,0.02497,significant
