,station id,r_value,gradient,intercept,p_value,conclusion
0,03631,-0.32509,-0.00071,1.63007,0.00603,significant but decreasing risk
1,03032,-0.12015,-0.00026,0.77382,0.32180,non-significant
2,00867,-0.19038,-0.00043,1.03126,0.11442,non-significant
3,04371,-0.27003,-0.00068,1.51358,0.02377,significant but decreasing risk
4,01691,-0.16379,-0.00017,0.48656,0.17547,non-significant
5,05371,0.23034,0.00086,-1.19436,0.05507,non-significant
6,05705,0.27266,0.00045,-0.72269,0.02239,significant
7,03730,0.41775,0.00083,-1.45369,0.00032,significant
8,02261,0.42626,0.00142,-2.55820,0.00023,significant
9,00656,0.15634,0.00036,-0.44008,0.19619,non-significant
10,04887,0.27703,0.00062,-0.89544,0.02025,significant
11,00701,-0.35893,-0.00072,1.63824,0.00228,significant but decreasing risk
12,01975,-0.39732,-0.00099,2.15286,0.00066,significant but decreasing risk
13,05792,-0.06606,-0.00040,1.24812,0.58692,non-significant
14,01639,0.65986,0.00195,-3.69526,0.00000,significant
15,02014,-0.48057,-0.00106,2.29084,0.00003,significant but decreasing risk
16,02601,0.08885,0.00030,-0.03551,0.46452,non-significant
17,05906,-0.08477,-0.00013,0.40935,0.48535,non-significant
18,05100,0.04478,0.00012,-0.00738,0.71279,non-significant
19,02597,0.45059,0.00102,-1.83876,0.00009,significant
20,00691,0.14785,0.00033,-0.46185,0.22193,non-significant
21,04104,0.26649,0.00056,-0.89956,0.02575,significant
22,01550,0.35833,0.00109,-1.96204,0.00232,significant
