,station id,r_value,gradient,intercept,p_value,conclusion
0,00701,-0.40828,-0.00016,0.33171,0.00045,significant but decreasing risk
1,05371,-0.11767,-0.00002,0.03742,0.33196,non-significant
2,04887,-0.27863,-0.00008,0.15841,0.01951,significant but decreasing risk
3,01691,-0.28962,-0.00008,0.16306,0.01502,significant but decreasing risk
4,02601,0.21517,0.00005,-0.09994,0.07364,non-significant
5,00656,-0.06411,-0.00001,0.03160,0.59802,non-significant
6,04104,0.08364,0.00002,-0.03172,0.49120,non-significant
7,05705,-0.02796,-0.00001,0.02166,0.81828,non-significant
8,03631,-0.19372,-0.00006,0.13917,0.10809,non-significant
9,05906,-0.06032,-0.00002,0.04826,0.61989,non-significant
10,04371,0.01038,0.00000,0.00660,0.93201,non-significant
11,00691,0.00945,0.00000,0.00699,0.93808,non-significant
12,02014,-0.30706,-0.00007,0.14980,0.00972,significant but decreasing risk
13,00867,0.33527,0.00008,-0.14690,0.00455,significant
14,05100,0.26636,0.00014,-0.25290,0.03197,significant
15,01975,0.02581,0.00001,-0.00027,0.83206,non-significant
16,02261,-0.11660,-0.00003,0.05924,0.33640,non-significant
17,01639,0.27678,0.00007,-0.13225,0.02037,significant
18,02597,0.48582,0.00016,-0.31396,0.00002,significant
