,station id,r_value,gradient,intercept,p_value,conclusion
0,04887,0.04697,0.00000,-0.00086,0.69939,non-significant
1,03730,0.24515,0.00000,-0.00286,0.04080,significant
2,01691,0.09397,0.00000,-0.00209,0.43909,non-significant
3,00656,0.36562,0.00000,-0.00490,0.00186,significant
4,01550,0.19437,0.00000,-0.00273,0.10688,non-significant
5,03631,0.34565,0.00000,-0.00845,0.00338,significant
6,05371,0.09782,0.00000,-0.00049,0.42046,non-significant
7,02597,0.59495,0.00001,-0.02718,0.00000,significant
8,00691,0.28030,0.00000,-0.00716,0.01876,significant
9,00701,-0.04118,-0.00000,0.00185,0.73503,non-significant
10,02261,0.08125,0.00000,-0.00142,0.50372,non-significant
11,05906,0.25464,0.00000,-0.00825,0.03339,significant
12,00867,0.44436,0.00001,-0.01483,0.00012,significant
13,04104,0.28675,0.00001,-0.01069,0.01610,significant
14,02014,0.22035,0.00000,-0.00455,0.06680,non-significant
15,02601,0.49112,0.00000,-0.00894,0.00002,significant
16,05705,0.37579,0.00000,-0.00744,0.00135,significant
17,05792,-0.19334,-0.00000,0.00000,0.10879,non-significant
18,01975,0.26290,0.00000,-0.00659,0.02789,significant
19,03032,0.36416,0.00000,-0.00850,0.00194,significant
20,04371,0.43542,0.00001,-0.01743,0.00017,significant
21,05100,0.54504,0.00002,-0.04062,0.00000,significant
22,01639,0.47369,0.00001,-0.01751,0.00003,significant
